Country Name,Value
Kiribati,126099.0
"Korea, Dem. People's Rep.",26136312.0
"Korea, Rep.",51836239.0
Kosovo,1790152.0
Kuwait,4400267.0
Kyrgyz Republic,6726595.5
Lao PDR,7346533.0
Late-demographic dividend,2316785459.5
Latin America & Caribbean,645497618.0
Latin America & Caribbean (excluding high income),583125825.0
Latin America & the Caribbean (IDA & IBRD countries),630051021.0
Latvia,1900449.0
Least developed countries: UN classification,1083636132.0
Lebanon,5702398.0
Lesotho,2235727.0
Liberia,5149463.0
Libya,7045399.0
Liechtenstein,38901.0
Lithuania,2794885.0
Low & middle income,6438169877.5
Low income,679560744.0
Lower middle income,2966396716.5
Luxembourg,630419.0
"Macao SAR, China",685400.0
Madagascar,28953556.0
Malawi,19533888.0
Malaysia,33889558.0
Maldives,502118.0
Mali,21713836.0
Malta,515332.0
Marshall Islands,42706.0
Mauritania,4600131.0
Mauritius,1266014.0
Mexico,126799054.0
"Micronesia, Fed. Sts.",110916.0
Middle East & North Africa,482334398.0
Middle East & North Africa (IDA & IBRD countries),413658033.0
Middle East & North Africa (excluding high income),418461302.0
Middle income,5758609133.5
Moldova,2635130.0
Monaco,38050.0
Mongolia,3327204.0
Montenegro,621306.0
Morocco,36584208.0
Mozambique,30783688.0
Myanmar,53016522.0
Namibia,2728762.0
Nauru,11643.0
Nepal,28966574.0
Netherlands,17441500.0
New Caledonia,284176.0
New Zealand,5090200.0
Nicaragua,6565267.0
Niger,23717613.0
Nigeria,213996181.0
North America,369619953.0
North Macedonia,1856124.0
Northern Mariana Islands,47528.0
Norway,5379475.0
OECD members,1370013876.0
Oman,4522497.0
Other small states,13884095.0
Pacific island small states,2595522.0
Pakistan,235001746.0
Palau,17792.0
Panama,4293261.0
Papua New Guinea,9815746.0
Paraguay,6603739.0
Peru,32838579.0
Philippines,112081264.0
Poland,37899070.0
Portugal,10297081.0
Post-demographic dividend,1117765361.0
Pre-demographic dividend,998624261.0
Puerto Rico,3281557.0
Qatar,2794148.0
Romania,19265250.0
Russian Federation,145245148.0
Rwanda,13065837.0
Samoa,211944.0
San Marino,34770.0
Sao Tome and Principe,217435.0
Saudi Arabia,31552510.0
Senegal,16789219.0
Serbia,6899126.0
Seychelles,98462.0
Sierra Leone,7912558.0
Singapore,5685807.0
Sint Maarten (Dutch part),41008.0
Slovak Republic,5458827.0
Slovenia,2102419.0
Small states,19572194.0
Solomon Islands,744498.0
Somalia,16651191.0
South Africa,60562381.0
South Asia,1895144142.0
South Asia (IDA & IBRD),1895144142.0
South Sudan,10698467.0
Spain,47365655.0
Sri Lanka,21919000.0
St. Kitts and Nevis,46870.0
St. Lucia,178250.0
St. Martin (French part),31786.0
St. Vincent and the Grenadines,103526.0
Sub-Saharan Africa,1169015451.0
Sub-Saharan Africa (IDA & IBRD countries),1169015451.0
Sub-Saharan Africa (excluding high income),1168916989.0
Sudan,46789231.0
Suriname,612317.0
Sweden,10353442.0
Switzerland,8638167.0
Syrian Arab Republic,21049429.0
Tajikistan,9749310.0
Tanzania,60972798.0
Thailand,71641484.0
Timor-Leste,1326053.0
Togo,8669720.0
Tonga,105704.0
Trinidad and Tobago,1366725.0
Tunisia,11974057.0
Turkiye,83384680.0
Turkmenistan,6949912.0
Turks and Caicos Islands,44386.0
Tuvalu,10399.0
Uganda,44457152.0
Ukraine,44680014.0
United Arab Emirates,9401038.0
United Kingdom,67081234.0
United States,331526933.0
Upper middle income,2792212417.0
Uruguay,3398968.0
Uzbekistan,33586372.0
Vanuatu,298858.0
"Venezuela, RB",28444077.0
Viet Nam,98079191.0
Virgin Islands (U.S.),106290.0
West Bank and Gaza,4803269.0
World,7856138789.5
"Yemen, Rep.",36134863.0
Zambia,19059395.0
Zimbabwe,15526888.0
